sample,total_count,population,count,percentage
sample01101,100305,cd4_t_cell,30617,30.5239020986
sample01101,100305,cd8_t_cell,23314,23.2431085190
sample01101,100305,monocyte,24715,24.6398484622
sample01101,100305,nk_cell,14969,14.9234833757
sample01102,92896,b_cell,7480,8.0520151567
sample01102,92896,cd4_t_cell,35406,38.1135893903
sample01102,92896,cd8_t_cell,18508,19.9233551498
sample01102,92896,monocyte,17734,19.0901653462
sample01102,92896,nk_cell,13768,14.8208749569
sample01103,100164,b_cell,18943,18.9119843457
sample01103,100164,cd4_t_cell,28266,28.2197196598
sample01103,100164,cd8_t_cell,18438,18.4078111896
sample01103,100164,monocyte,22145,22.1087416637
sample01103,100164,nk_cell,12372,12.3517431412
sample01104,101076,b_cell,4582,4.5332225256
sample01104,101076,cd4_t_cell,47434,46.9290434920
sample01104,101076,cd8_t_cell,22431,22.1922118010
sample01104,101076,monocyte,17793,17.6035854209
sample01104,101076,nk_cell,8836,8.7419367605
sample01105,109818,b_cell,15233,13.8711322370
sample01105,109818,cd4_t_cell,24252,22.0838113970
sample01105,109818,cd8_t_cell,21189,19.2946511501
sample01105,109818,monocyte,26271,23.9223078184
sample01105,109818,nk_cell,22873,20.8280973975
sample01106,95116,b_cell,8173,8.5926657976
sample01106,95116,cd4_t_cell,20869,21.9405778208
sample01106,95116,cd8_t_cell,30539,32.1071113167
sample01106,95116,monocyte,19541,20.5443879053
sample01106,95116,nk_cell,15994,16.8152571597
sample01107,99048,b_cell,4810,4.8562313222
sample01107,99048,cd4_t_cell,27256,27.5179710847
sample01107,99048,cd8_t_cell,26136,26.3872062031
sample01107,99048,monocyte,25505,25.7501413456
sample01107,99048,nk_cell,15341,15.4884500444
sample01108,99746,b_cell,4510,4.5214845708
sample01108,99746,cd4_t_cell,23687,23.7473181882
sample01108,99746,cd8_t_cell,30059,30.1355442825
sample01108,99746,monocyte,25121,25.1849698234
sample01108,99746,nk_cell,16369,16.4106831352
sample01109,93667,b_cell,12236,13.0632987071
sample01109,93667,cd4_t_cell,29181,31.1539816584
sample01109,93667,cd8_t_cell,28835,30.7845879552
sample01109,93667,monocyte,14765,15.7632890986
sample01109,93667,nk_cell,8650,9.2348425806
sample01110,103592,b_cell,6080,5.8691790872
sample01110,103592,cd4_t_cell,31985,30.8759363657
sample01110,103592,cd8_t_cell,22297,21.5238628466
sample01110,103592,monocyte,28491,27.5030890416
sample01110,103592,nk_cell,14739,14.2279326589
sample01111,96363,b_cell,12246,12.7081971296
sample01111,96363,cd4_t_cell,24516,25.4413000841
sample01111,96363,cd8_t_cell,29178,30.2792565611
sample01111,96363,monocyte,14546,15.0950053444
sample01111,96363,nk_cell,15877,16.4762408808
sample01112,92176,b_cell,16923,18.3594428051
sample01112,92176,cd4_t_cell,21829,23.6818694671
sample01112,92176,cd8_t_cell,25901,28.0995052942
sample01112,92176,monocyte,17299,18.7673580976
sample01112,92176,nk_cell,10224,11.0918243361
sample01113,101602,b_cell,14481,14.2526721915
sample01113,101602,cd4_t_cell,35008,34.4560146454
sample01113,101602,cd8_t_cell,21564,21.2239916537
sample01113,101602,monocyte,21596,21.2554870967
sample01113,101602,nk_cell,8953,8.8118344127
sample01114,100135,b_cell,4528,4.5218954412
sample01114,100135,cd4_t_cell,27400,27.3630598692
sample01114,100135,cd8_t_cell,16611,16.5886053827
sample01114,100135,monocyte,35196,35.1485494582
sample01114,100135,nk_cell,16400,16.3778898487
sample01115,111594,b_cell,5287,4.7377099127
sample01115,111594,cd4_t_cell,42989,38.5226804308
sample01115,111594,cd8_t_cell,35922,32.1899026829
sample01115,111594,monocyte,22057,19.7653995735
sample01115,111594,nk_cell,5339,4.7843074000
sample01116,101279,b_cell,8468,8.3610620168
sample01116,101279,cd4_t_cell,28264,27.9070685927
sample01116,101279,cd8_t_cell,32342,31.9335696443
sample01116,101279,monocyte,23478,23.1815085062
sample01116,101279,nk_cell,8727,8.6167912400
sample01117,94753,b_cell,12763,13.4697582135
sample01117,94753,cd4_t_cell,36177,38.1803214674
sample01117,94753,cd8_t_cell,20738,21.8863782677
sample01117,94753,monocyte,14218,15.0053296466
sample01117,94753,nk_cell,10857,11.4582124049
sample01118,109374,b_cell,11100,10.1486642164
sample01118,109374,cd4_t_cell,39099,35.7479839816
sample01118,109374,cd8_t_cell,17367,15.8785451753
sample01118,109374,monocyte,19492,17.8214200816
sample01118,109374,nk_cell,22316,20.4033865452
sample01119,97623,b_cell,8128,8.3259068047
sample01119,97623,cd4_t_cell,31961,32.7392110466
sample01119,97623,cd8_t_cell,21379,21.8995523596
sample01119,97623,monocyte,19067,19.5312580027
sample01119,97623,nk_cell,17088,17.5040717864
sample01120,105994,b_cell,11336,10.6949449969
sample01120,105994,cd4_t_cell,33623,31.7216068834
sample01120,105994,cd8_t_cell,22156,20.9030699851
sample01120,105994,monocyte,21455,20.2417117950
sample01120,105994,nk_cell,17424,16.4386663396
sample01121,101330,b_cell,8761,8.6460080924
sample01121,101330,cd4_t_cell,39079,38.5660712523
sample01121,101330,cd8_t_cell,20140,19.8756538044
sample01121,101330,monocyte,17390,17.1617487417
sample01121,101330,nk_cell,15960,15.7505181091
sample01122,92225,b_cell,16980,18.4114936297
sample01122,92225,cd4_t_cell,29870,32.3881810789
sample01122,92225,cd8_t_cell,26064,28.2613174302
sample01122,92225,monocyte,6736,7.3038763893
sample01122,92225,nk_cell,12575,13.6351314719
sample01123,92156,b_cell,9455,10.2597769000
sample01123,92156,cd4_t_cell,22546,24.4650375450
sample01123,92156,cd8_t_cell,22612,24.5366552368
sample01123,92156,monocyte,18293,19.8500368940
sample01123,92156,nk_cell,19250,20.8884934242
sample01124,106510,b_cell,9231,8.6667918505
sample01124,106510,cd4_t_cell,35577,33.4024974181
sample01124,106510,cd8_t_cell,21138,19.8460238475
sample01124,106510,monocyte,22258,20.8975683034
sample01124,106510,nk_cell,18306,17.1871185804
sample01125,97583,b_cell,8311,8.5168523206
sample01125,97583,cd4_t_cell,33538,34.3686912679
sample01125,97583,cd8_t_cell,20854,21.3705256038
sample01125,97583,monocyte,21988,22.5326132626
sample01125,97583,nk_cell,12892,13.2113175451
sample01126,96788,b_cell,7562,7.8129520188
sample01126,96788,cd4_t_cell,27444,28.3547547217
sample01126,96788,cd8_t_cell,31524,32.5701533248
sample01126,96788,monocyte,15232,15.7374881184
sample01126,96788,nk_cell,15026,15.5246518163
sample01127,94396,b_cell,9188,9.7334632823
sample01127,94396,cd4_t_cell,26174,27.7278698250
sample01127,94396,cd8_t_cell,26655,28.2374253146
sample01127,94396,monocyte,18336,19.4245518878
sample01127,94396,nk_cell,14043,14.8766896902
sample01128,95345,b_cell,20055,21.0341391788
sample01128,95345,cd4_t_cell,18249,19.1399653889
sample01128,95345,cd8_t_cell,27923,29.2862761550
sample01128,95345,monocyte,15523,16.2808747181
sample01128,95345,nk_cell,13595,14.2587445592
sample01129,92988,b_cell,6602,7.0998408397
sample01129,92988,cd4_t_cell,31032,33.3720480062
sample01129,92988,cd8_t_cell,22584,24.2870047748
sample01129,92988,monocyte,18097,19.4616509657
sample01129,92988,nk_cell,14673,15.7794554136
sample01130,106266,b_cell,13387,12.5976323565
sample01130,106266,cd4_t_cell,28200,26.5371802834
sample01130,106266,cd8_t_cell,35667,33.5638868500
sample01130,106266,monocyte,18469,17.3799710161
sample01130,106266,nk_cell,10543,9.9213294939
sample01131,104503,b_cell,8871,8.4887515191
sample01131,104503,cd4_t_cell,32729,31.3187181229
sample01131,104503,cd8_t_cell,24317,23.2691884444
sample01131,104503,monocyte,17476,16.7229648910
sample01131,104503,nk_cell,21110,20.2003770227
sample01132,95092,b_cell,7146,7.5148277458
sample01132,95092,cd4_t_cell,26130,27.4786522526
sample01132,95092,cd8_t_cell,27570,28.9929752240
sample01132,95092,monocyte,18566,19.5242501998
sample01132,95092,nk_cell,15680,16.4892945779
sample01133,99897,b_cell,11097,11.1084416949
sample01133,99897,cd4_t_cell,39758,39.7989929628
sample01133,99897,cd8_t_cell,25726,25.7525251009
sample01133,99897,monocyte,15641,15.6571268406
sample01133,99897,nk_cell,7675,7.6829134008
sample01134,95780,b_cell,6162,6.4334934224
sample01134,95780,cd4_t_cell,31722,33.1196491961
sample01134,95780,cd8_t_cell,26748,27.9264982251
sample01134,95780,monocyte,19911,20.7882647734
sample01134,95780,nk_cell,11237,11.7320943830
sample01135,103817,b_cell,17811,17.1561497635
sample01135,103817,cd4_t_cell,27055,26.0602791450
sample01135,103817,cd8_t_cell,20037,19.3003072714
sample01135,103817,monocyte,20632,19.8734311336
sample01135,103817,nk_cell,18282,17.6098326864
sample01136,101744,b_cell,8595,8.4476725900
sample01136,101744,cd4_t_cell,32788,32.2259789275
sample01136,101744,cd8_t_cell,25087,24.6569822299
sample01136,101744,monocyte,25484,25.0471772291
sample01136,101744,nk_cell,9790,9.6221890234
sample01137,88196,b_cell,7546,8.5559435802
sample01137,88196,cd4_t_cell,34850,39.5142636854
sample01137,88196,cd8_t_cell,17076,19.3614222867
sample01137,88196,monocyte,15917,18.0473037326
sample01137,88196,nk_cell,12807,14.5210667150
sample01138,90280,b_cell,8384,9.2866637129
sample01138,90280,cd4_t_cell,24005,26.5894993354
sample01138,90280,cd8_t_cell,27577,30.5460788658
sample01138,90280,monocyte,18085,20.0321222862
sample01138,90280,nk_cell,12229,13.5456357997
sample01139,106313,b_cell,4818,4.5319010845
sample01139,106313,cd4_t_cell,39444,37.1017655414
sample01139,106313,cd8_t_cell,27649,26.0071675148
sample01139,106313,monocyte,17485,16.4467186515
sample01139,106313,nk_cell,16917,15.9124472078
sample01140,101859,b_cell,6500,6.3813703256
sample01140,101859,cd4_t_cell,42644,41.8657163334
sample01140,101859,cd8_t_cell,22823,22.4064638373
sample01140,101859,monocyte,20211,19.8421347156
sample01140,101859,nk_cell,9681,9.5043147881
sample01141,106257,b_cell,6823,6.4212240135
sample01141,106257,cd4_t_cell,28107,26.4519043451
sample01141,106257,cd8_t_cell,24765,23.3066997939
sample01141,106257,monocyte,28393,26.7210630829
sample01141,106257,nk_cell,18169,17.0991087646
sample01142,104108,b_cell,7585,7.2857033081
sample01142,104108,cd4_t_cell,34155,32.8072770584
sample01142,104108,cd8_t_cell,33360,32.0436469820
sample01142,104108,monocyte,16322,15.6779498213
sample01142,104108,nk_cell,12686,12.1854228301
sample01143,106564,b_cell,9478,8.8941856537
sample01143,106564,cd4_t_cell,26179,24.5664577156
sample01143,106564,cd8_t_cell,31994,30.0232723997
sample01143,106564,monocyte,24104,22.6192710484
sample01143,106564,nk_cell,14809,13.8968131827
sample01144,104632,b_cell,16890,16.1422891658
sample01144,104632,cd4_t_cell,32747,31.2973086627
sample01144,104632,cd8_t_cell,31313,29.9267910391
sample01144,104632,monocyte,11963,11.4334046945
sample01144,104632,nk_cell,11719,11.2002064378
sample01145,107253,b_cell,14392,13.4187388698
sample01145,107253,cd4_t_cell,29528,27.5311646294
sample01145,107253,cd8_t_cell,23115,21.5518447036
sample01145,107253,monocyte,23640,22.0413415009
sample01145,107253,nk_cell,16578,15.4569102962
sample01146,103281,b_cell,6433,6.2286383749
sample01146,103281,cd4_t_cell,31299,30.3047027043
sample01146,103281,cd8_t_cell,28680,27.7689023150
sample01146,103281,monocyte,24486,23.7081360560
sample01146,103281,nk_cell,12383,11.9896205498
sample01147,92981,b_cell,7506,8.0726169863
sample01147,92981,cd4_t_cell,36683,39.4521461374
sample01147,92981,cd8_t_cell,16848,18.1198309332
sample01147,92981,monocyte,16449,17.6907110055
sample01147,92981,nk_cell,15495,16.6646949377
sample01148,103185,b_cell,14394,13.9497019916
sample01148,103185,cd4_t_cell,20042,19.4233657993
sample01148,103185,cd8_t_cell,35238,34.1503125454
sample01148,103185,monocyte,17622,17.0780636720
sample01148,103185,nk_cell,15889,15.3985559917
sample01149,109571,b_cell,10673,9.7407160654
sample01149,109571,cd4_t_cell,34039,31.0657016911
sample01149,109571,cd8_t_cell,27224,24.8459902711
sample01149,109571,monocyte,16719,15.2585994469
sample01149,109571,nk_cell,20916,19.0889925254
sample01150,97705,b_cell,4878,4.9925797042
sample01150,97705,cd4_t_cell,29215,29.9012333043
sample01150,97705,cd8_t_cell,36962,37.8302031626
sample01150,97705,monocyte,13890,14.2162632414
sample01150,97705,nk_cell,12760,13.0597205875
sample01151,93128,b_cell,6360,6.8293101967
sample01151,93128,cd4_t_cell,30558,32.8129026716
sample01151,93128,cd8_t_cell,18967,20.3665922172
sample01151,93128,monocyte,19845,21.3093806374
sample01151,93128,nk_cell,17398,18.6818142771
sample01152,103219,b_cell,11511,11.1520165861
sample01152,103219,cd4_t_cell,33379,32.3380385394
sample01152,103219,cd8_t_cell,19743,19.1272924558
sample01152,103219,monocyte,24370,23.6099942840
sample01152,103219,nk_cell,14216,13.7726581346
sample01153,97580,b_cell,10153,10.4047960648
sample01153,97580,cd4_t_cell,35688,36.5730682517
sample01153,97580,cd8_t_cell,23343,23.9219102275
sample01153,97580,monocyte,16802,17.2186923550
sample01153,97580,nk_cell,11594,11.8815331010
sample01154,103873,b_cell,12105,11.6536539813
sample01154,103873,cd4_t_cell,31568,30.3909581893
sample01154,103873,cd8_t_cell,23832,22.9434020390
sample01154,103873,monocyte,17695,17.0352257083
sample01154,103873,nk_cell,18673,17.9767600820
sample01155,105629,b_cell,7027,6.6525291350
sample01155,105629,cd4_t_cell,42164,39.9170682294
sample01155,105629,cd8_t_cell,23377,22.1312329001
sample01155,105629,monocyte,22883,21.6635583031
sample01155,105629,nk_cell,10178,9.6356114325
sample01156,107913,b_cell,4845,4.4897278363
sample01156,107913,cd4_t_cell,37578,34.8224958995
sample01156,107913,cd8_t_cell,21877,20.2728123581
sample01156,107913,monocyte,28458,26.3712435017
sample01156,107913,nk_cell,15155,14.0437204044
sample01157,110685,b_cell,9606,8.6786827483
sample01157,110685,cd4_t_cell,44754,40.4336630980
sample01157,110685,cd8_t_cell,19200,17.3465239192
sample01157,110685,monocyte,27994,25.2915932602
sample01157,110685,nk_cell,9131,8.2495369743
sample01158,107472,b_cell,19034,17.7106595206
sample01158,107472,cd4_t_cell,29545,27.4908813458
sample01158,107472,cd8_t_cell,25679,23.8936653268
sample01158,107472,monocyte,20190,18.7862885217
sample01158,107472,nk_cell,13024,12.1185052851
sample01159,96088,b_cell,6923,7.2048538839
sample01159,96088,cd4_t_cell,26032,27.0918324869
sample01159,96088,cd8_t_cell,23038,23.9759387228
sample01159,96088,monocyte,17757,18.4799350595
sample01159,96088,nk_cell,22338,23.2474398468
sample01160,100191,b_cell,6043,6.0314798734
sample01160,100191,cd4_t_cell,27299,27.2469583096
sample01160,100191,cd8_t_cell,30657,30.5985567566
sample01160,100191,monocyte,19480,19.4428641295
sample01160,100191,nk_cell,16712,16.6801409308
sample01161,107354,b_cell,16914,15.7553514541
sample01161,107354,cd4_t_cell,25710,23.9488048885
sample01161,107354,cd8_t_cell,29086,27.0935409952
sample01161,107354,monocyte,21627,20.1454999348
sample01161,107354,nk_cell,14017,13.0568027274
sample01162,104496,b_cell,9610,9.1965242689
sample01162,104496,cd4_t_cell,26987,25.8258689328
sample01162,104496,cd8_t_cell,31050,29.7140560404
sample01162,104496,monocyte,19091,18.2695988363
sample01162,104496,nk_cell,17758,16.9939519216
sample01163,90914,b_cell,6911,7.6016895088
sample01163,90914,cd4_t_cell,31544,34.6965263876
sample01163,90914,cd8_t_cell,19581,21.5379369514
sample01163,90914,monocyte,21453,23.5970257606
sample01163,90914,nk_cell,11425,12.5668213916
sample01164,96924,b_cell,10882,11.2273533903
sample01164,96924,cd4_t_cell,27467,28.3386983616
sample01164,96924,cd8_t_cell,20657,21.3125748009
sample01164,96924,monocyte,22643,23.3616029054
sample01164,96924,nk_cell,15275,15.7597705419
sample01165,98705,b_cell,12101,12.2597639431
sample01165,98705,cd4_t_cell,26620,26.9692518110
sample01165,98705,cd8_t_cell,22985,23.2865609645
sample01165,98705,monocyte,19522,19.7781267413
sample01165,98705,nk_cell,17477,17.7062965402
sample01166,98027,b_cell,6315,6.4421026860
sample01166,98027,cd4_t_cell,25315,25.8245177349
sample01166,98027,cd8_t_cell,26804,27.3434869985
sample01166,98027,monocyte,18112,18.4765421772
sample01166,98027,nk_cell,21481,21.9133504035
sample01167,108759,b_cell,8325,7.6545389347
sample01167,108759,cd4_t_cell,47663,43.8244191285
sample01167,108759,cd8_t_cell,16467,15.1408159325
sample01167,108759,monocyte,20118,18.4977794941
sample01167,108759,nk_cell,16186,14.8824465102
sample01168,95899,b_cell,8171,8.5204225279
sample01168,95899,cd4_t_cell,23282,24.2776254184
sample01168,95899,cd8_t_cell,34334,35.8022502842
sample01168,95899,monocyte,14437,15.0543801291
sample01168,95899,nk_cell,15675,16.3453216405
sample01169,92189,b_cell,8185,8.8784996041
sample01169,92189,cd4_t_cell,21492,23.3129766024
sample01169,92189,cd8_t_cell,28849,31.2933213290
sample01169,92189,monocyte,17864,19.3775830088
sample01169,92189,nk_cell,15799,17.1376194557
sample01170,96333,b_cell,8459,8.7809992422
sample01170,96333,cd4_t_cell,30750,31.9205256766
sample01170,96333,cd8_t_cell,19618,20.3647763487
sample01170,96333,monocyte,26205,27.2025162717
sample01170,96333,nk_cell,11301,11.7311824608
sample01171,95844,b_cell,9511,9.9234172196
sample01171,95844,cd4_t_cell,28053,29.2694378365
sample01171,95844,cd8_t_cell,22890,23.8825591586
sample01171,95844,monocyte,22283,23.2492383456
sample01171,95844,nk_cell,13107,13.6753474396
sample01172,99022,b_cell,5988,6.0471410394
sample01172,99022,cd4_t_cell,25890,26.1457049948
sample01172,99022,cd8_t_cell,34479,34.8195350528
sample01172,99022,monocyte,20775,20.9801862212
sample01172,99022,nk_cell,11890,12.0074326917
sample01173,93150,b_cell,9034,9.6983360172
sample01173,93150,cd4_t_cell,24551,26.3564143854
sample01173,93150,cd8_t_cell,22194,23.8260869565
sample01173,93150,monocyte,22482,24.1352657005
sample01173,93150,nk_cell,14889,15.9838969404
sample01174,92352,b_cell,6855,7.4226871102
sample01174,92352,cd4_t_cell,34230,37.0647089397
sample01174,92352,cd8_t_cell,15693,16.9925935551
sample01174,92352,monocyte,19231,20.8235880111
sample01174,92352,nk_cell,16343,17.6964223839
sample01175,103530,b_cell,8377,8.0913744808
sample01175,103530,cd4_t_cell,32869,31.7482855211
sample01175,103530,cd8_t_cell,31431,30.3593161402
sample01175,103530,monocyte,19225,18.5694967642
sample01175,103530,nk_cell,11628,11.2315270936
sample01176,101916,b_cell,10265,10.0720200950
sample01176,101916,cd4_t_cell,25581,25.1000824208
sample01176,101916,cd8_t_cell,25157,24.6840535343
sample01176,101916,monocyte,24342,23.8843753680
sample01176,101916,nk_cell,16571,16.2594685820
sample01177,112793,b_cell,13080,11.5964643196
sample01177,112793,cd4_t_cell,30127,26.7099908682
sample01177,112793,cd8_t_cell,31243,27.6994139707
sample01177,112793,monocyte,25769,22.8462759214
sample01177,112793,nk_cell,12574,11.1478549201
sample01178,100373,b_cell,13511,13.4607912486
sample01178,100373,cd4_t_cell,36444,36.3085690375
sample01178,100373,cd8_t_cell,17655,17.5893915694
sample01178,100373,monocyte,18705,18.6354896237
sample01178,100373,nk_cell,14058,14.0057585207
sample01179,90859,b_cell,7246,7.9749942218
sample01179,90859,cd4_t_cell,26485,29.1495614083
sample01179,90859,cd8_t_cell,32482,35.7498981939
sample01179,90859,monocyte,16920,18.6222608657
sample01179,90859,nk_cell,7726,8.5032853102
sample01180,103706,b_cell,7762,7.4846199834
sample01180,103706,cd4_t_cell,28416,27.4005361310
sample01180,103706,cd8_t_cell,24521,23.6447264382
sample01180,103706,monocyte,20145,19.4251055869
sample01180,103706,nk_cell,22862,22.0450118605
sample01181,106762,b_cell,12861,12.0464210112
sample01181,106762,cd4_t_cell,26779,25.0828946629
sample01181,106762,cd8_t_cell,24957,23.3762949364
sample01181,106762,monocyte,22771,21.3287499298
sample01181,106762,nk_cell,19394,18.1656394597
sample01182,109554,b_cell,8502,7.7605564379
sample01182,109554,cd4_t_cell,25123,22.9320700294
sample01182,109554,cd8_t_cell,27347,24.9621191376
sample01182,109554,monocyte,35304,32.2252040090
sample01182,109554,nk_cell,13278,12.1200503861
sample01183,110310,b_cell,15913,14.4257093645
sample01183,110310,cd4_t_cell,27658,25.0729761581
sample01183,110310,cd8_t_cell,40808,36.9939262080
sample01183,110310,monocyte,11364,10.3018765298
sample01183,110310,nk_cell,14567,13.2055117396
sample01184,102945,b_cell,4561,4.4305211521
sample01184,102945,cd4_t_cell,31343,30.4463548497
sample01184,102945,cd8_t_cell,20100,19.5249890718
sample01184,102945,monocyte,29270,28.4326582156
sample01184,102945,nk_cell,17671,17.1654767109
sample01185,94346,b_cell,10632,11.2691582049
sample01185,94346,cd4_t_cell,18215,19.3065948742
sample01185,94346,cd8_t_cell,21467,22.7534818646
sample01185,94346,monocyte,24590,26.0636380981
sample01185,94346,nk_cell,19442,20.6071269582
sample01186,93692,b_cell,8960,9.5632497972
sample01186,93692,cd4_t_cell,33231,35.4683430816
sample01186,93692,cd8_t_cell,25592,27.3150322333
sample01186,93692,monocyte,16208,17.2992357939
sample01186,93692,nk_cell,9701,10.3541390941
sample01187,92747,b_cell,5665,6.1080142754
sample01187,92747,cd4_t_cell,31765,34.2490862238
sample01187,92747,cd8_t_cell,23009,24.8083495962
sample01187,92747,monocyte,14467,15.5983481946
sample01187,92747,nk_cell,17841,19.2362017100
sample01188,91221,b_cell,6960,7.6298220804
sample01188,91221,cd4_t_cell,23392,25.6432181186
sample01188,91221,cd8_t_cell,26435,28.9790728012
sample01188,91221,monocyte,19485,21.3602131088
sample01188,91221,nk_cell,14949,16.3876738909
sample01189,109571,b_cell,8774,8.0075932500
sample01189,109571,cd4_t_cell,33639,30.7006415931
sample01189,109571,cd8_t_cell,30218,27.5784651048
sample01189,109571,monocyte,19639,17.9235381625
sample01189,109571,nk_cell,17301,15.7897618896
sample01190,103522,b_cell,10356,10.0036707173
sample01190,103522,cd4_t_cell,39542,38.1967118101
sample01190,103522,cd8_t_cell,24228,23.4037209482
sample01190,103522,monocyte,16670,16.1028573637
sample01190,103522,nk_cell,12726,12.2930391608
sample01191,96645,b_cell,10834,11.2100988153
sample01191,96645,cd4_t_cell,19688,20.3714625692
sample01191,96645,cd8_t_cell,28310,29.2927725180
sample01191,96645,monocyte,26209,27.1188369807
sample01191,96645,nk_cell,11604,12.0068291169
sample01192,95609,b_cell,8097,8.4688679936
sample01192,95609,cd4_t_cell,30971,32.3933939273
sample01192,95609,cd8_t_cell,19099,19.9761528726
sample01192,95609,monocyte,24244,25.3574454288
sample01192,95609,nk_cell,13198,13.8041397776
sample01193,94787,b_cell,8794,9.2776435587
sample01193,94787,cd4_t_cell,33229,35.0564950890
sample01193,94787,cd8_t_cell,17695,18.6681717957
sample01193,94787,monocyte,21765,22.9620095583
sample01193,94787,nk_cell,13304,14.0356799983
sample01194,93745,b_cell,8252,8.8026028055
sample01194,93745,cd4_t_cell,26500,28.2681743026
sample01194,93745,cd8_t_cell,24214,25.8296442477
sample01194,93745,monocyte,17922,19.1178196170
sample01194,93745,nk_cell,16857,17.9817590271
sample01195,93527,b_cell,7943,8.4927347183
sample01195,93527,cd4_t_cell,25177,26.9194991821
sample01195,93527,cd8_t_cell,15501,16.5738236017
sample01195,93527,monocyte,20847,22.2898200520
sample01195,93527,nk_cell,24059,25.7241224459
sample01196,96200,b_cell,9944,10.3367983368
sample01196,96200,cd4_t_cell,29114,30.2640332640
sample01196,96200,cd8_t_cell,20614,21.4282744283
sample01196,96200,monocyte,22754,23.6528066528
sample01196,96200,nk_cell,13774,14.3180873181
sample01197,106220,b_cell,5988,5.6373564301
sample01197,106220,cd4_t_cell,28443,26.7774430427
sample01197,106220,cd8_t_cell,26924,25.3473922049
sample01197,106220,monocyte,21845,20.5658068160
sample01197,106220,nk_cell,23020,21.6720015063
sample01198,111530,b_cell,7853,7.0411548462
sample01198,111530,cd4_t_cell,26988,24.1979736394
sample01198,111530,cd8_t_cell,33769,30.2779521205
sample01198,111530,monocyte,23785,21.3261006007
sample01198,111530,nk_cell,19135,17.1568187931
sample01199,100758,b_cell,11008,10.9251870819
sample01199,100758,cd4_t_cell,31368,31.1320192938
sample01199,100758,cd8_t_cell,27041,26.8375712102
sample01199,100758,monocyte,18377,18.2387502729
sample01199,100758,nk_cell,12964,12.8664721412
sample01200,110768,b_cell,7050,6.3646540517
sample01200,110768,cd4_t_cell,29680,26.7947421638
sample01200,110768,cd8_t_cell,42985,38.8063339593
sample01200,110768,monocyte,16137,14.5682868699
sample01200,110768,nk_cell,14916,13.4659829554
sample01201,99446,b_cell,13543,13.6184461919
sample01201,99446,cd4_t_cell,26263,26.4093075639
sample01201,99446,cd8_t_cell,17319,17.4154817690
sample01201,99446,monocyte,25624,25.7667477827
sample01201,99446,nk_cell,16697,16.7900166925
sample01202,110551,b_cell,15675,14.1789762191
sample01202,110551,cd4_t_cell,31640,28.6202748053
sample01202,110551,cd8_t_cell,27882,25.2209387523
sample01202,110551,monocyte,22349,20.2160089009
sample01202,110551,nk_cell,13005,11.7638013225
sample01203,100758,b_cell,7062,7.0088727446
sample01203,100758,cd4_t_cell,28555,28.3401814248
sample01203,100758,cd8_t_cell,32313,32.0699100816
sample01203,100758,monocyte,20385,20.2316441374
sample01203,100758,nk_cell,12443,12.3493916116
sample01204,109975,b_cell,10353,9.4139577177
sample01204,109975,cd4_t_cell,32389,29.4512389179
sample01204,109975,cd8_t_cell,31867,28.9765855876
sample01204,109975,monocyte,21004,19.0988861105
sample01204,109975,nk_cell,14362,13.0593316663
sample01205,106741,b_cell,6107,5.7213254513
sample01205,106741,cd4_t_cell,44761,41.9342145942
sample01205,106741,cd8_t_cell,24369,22.8300278244
sample01205,106741,monocyte,13027,12.2043076231
sample01205,106741,nk_cell,18477,17.3101245070
sample01206,109262,b_cell,20702,18.9471179367
sample01206,109262,cd4_t_cell,34507,31.5818857425
sample01206,109262,cd8_t_cell,25131,23.0006772711
sample01206,109262,monocyte,18052,16.5217550475
sample01206,109262,nk_cell,10870,9.9485640021
sample01207,103403,b_cell,9740,9.4194559152
sample01207,103403,cd4_t_cell,34605,33.4661470170
sample01207,103403,cd8_t_cell,22644,21.8987843680
sample01207,103403,monocyte,21797,21.0796591975
sample01207,103403,nk_cell,14617,14.1359535023
sample01208,92083,b_cell,12042,13.0773324066
sample01208,92083,cd4_t_cell,16488,17.9055851786
sample01208,92083,cd8_t_cell,25869,28.0931333688
sample01208,92083,monocyte,22835,24.7982798128
sample01208,92083,nk_cell,14849,16.1256692332
sample01209,98265,b_cell,14137,14.3866076426
sample01209,98265,cd4_t_cell,27639,28.1270035109
sample01209,98265,cd8_t_cell,24256,24.6842721213
sample01209,98265,monocyte,20710,21.0756627487
sample01209,98265,nk_cell,11523,11.7264539765
sample01210,104877,b_cell,10660,10.1642876894
sample01210,104877,cd4_t_cell,25489,24.3037081534
sample01210,104877,cd8_t_cell,34988,33.3609847726
sample01210,104877,monocyte,12560,11.9759337128
sample01210,104877,nk_cell,21180,20.1950856718
sample01211,111665,b_cell,10307,9.2302870192
sample01211,111665,cd4_t_cell,39752,35.5993373035
sample01211,111665,cd8_t_cell,21833,19.5522321229
sample01211,111665,monocyte,23138,20.7209062822
sample01211,111665,nk_cell,16635,14.8972372722
sample01212,104555,b_cell,10431,9.9765673569
sample01212,104555,cd4_t_cell,32463,31.0487303333
sample01212,104555,cd8_t_cell,20340,19.4538759505
sample01212,104555,monocyte,22562,21.5790732151
sample01212,104555,nk_cell,18759,17.9417531443
sample01213,104113,b_cell,10456,10.0429341197
sample01213,104113,cd4_t_cell,28895,27.7534986025
sample01213,104113,cd8_t_cell,33848,32.5108295794
sample01213,104113,monocyte,17449,16.7596745843
